Frecuencia,0,10,20,30,40,50,60,70,80,90,-90,-80,-70,-60,-50,-40,-30,-20,-10
173.04,0,-0.385696,-0.689163,-0.93457,-1.317196,-1.389953,-1.811027,-1.97771,-2.381878,-2.241993,-2.241993,-2.381878,-1.97771,-1.811027,-1.389953,-1.317196,-0.93457,-0.689163,-0.385696
175.194,0,-0.386963,-0.684197,-0.940216,-1.372757,-1.514694,-1.974678,-2.177048,-2.668045,-2.534943,-2.534943,-2.668045,-2.177048,-1.974678,-1.514694,-1.372757,-0.940216,-0.684197,-0.386963
177.375,0,-0.378277,-0.634327,-0.89962,-1.368267,-1.569901,-2.058773,-2.314396,-2.90147,-2.784958,-2.784958,-2.90147,-2.314396,-2.058773,-1.569901,-1.368267,-0.89962,-0.634327,-0.378277
179.583,0,-0.35009,-0.546264,-0.816993,-1.304359,-1.552951,-2.060573,-2.369117,-3.049392,-2.96833,-2.96833,-3.049392,-2.369117,-2.060573,-1.552951,-1.304359,-0.816993,-0.546264,-0.35009
181.819,0,-0.306015,-0.440624,-0.705082,-1.19751,-1.484031,-1.999817,-2.35448,-3.133087,-3.092956,-3.092956,-3.133087,-2.35448,-1.999817,-1.484031,-1.19751,-0.705082,-0.440624,-0.306015
184.082,0,-0.287754,-0.327568,-0.575867,-1.070519,-1.389496,-1.888794,-2.299751,-3.201306,-3.179505,-3.179505,-3.201306,-2.299751,-1.888794,-1.389496,-1.070519,-0.575867,-0.327568,-0.287754
186.374,0,-0.26099,-0.224277,-0.448398,-0.937252,-1.27901,-1.746864,-2.202694,-3.224079,-3.224411,-3.224411,-3.224079,-2.202694,-1.746864,-1.27901,-0.937252,-0.448398,-0.224277,-0.26099
188.694,0,-0.228016,-0.139685,-0.333012,-0.817135,-1.174927,-1.617993,-2.100438,-3.232739,-3.246022,-3.246022,-3.232739,-2.100438,-1.617993,-1.174927,-0.817135,-0.333012,-0.139685,-0.228016
191.043,0,-0.209637,-0.078697,-0.24643,-0.741778,-1.133051,-1.546507,-2.052679,-3.279322,-3.312815,-3.312815,-3.279322,-2.052679,-1.546507,-1.133051,-0.741778,-0.24643,-0.078697,-0.209637
193.421,0,-0.204897,-0.030794,-0.179271,-0.683954,-1.093168,-1.488313,-2.016668,-3.336008,-3.38273,-3.38273,-3.336008,-2.016668,-1.488313,-1.093168,-0.683954,-0.179271,-0.030794,-0.204897
